iter	Passed	Remaining
0	9	4843
1	18	4508
2	26	4389
3	34	4320
4	43	4338
5	53	4437
6	63	4437
7	71	4414
8	81	4446
9	91	4475
10	100	4476
11	110	4504
12	119	4477
13	128	4474
14	138	4482
15	148	4486
16	157	4481
17	166	4454
18	175	4441
19	184	4435
20	193	4412
21	202	4404
22	211	4377
23	220	4377
24	229	4361
25	238	4351
26	247	4340
27	256	4331
28	266	4320
29	274	4304
30	283	4290
31	293	4293
32	304	4306
33	313	4299
34	323	4294
35	332	4279
36	342	4279
37	351	4270
38	361	4271
39	369	4252
40	379	4245
41	389	4249
42	399	4244
43	407	4224
44	417	4217
45	426	4205
46	437	4212
47	446	4204
48	455	4189
49	464	4182
50	473	4171
51	482	4157
52	492	4152
53	501	4145
54	511	4135
55	521	4131
56	530	4125
57	540	4115
58	548	4102
59	557	4091
60	566	4079
61	576	4071
62	584	4054
63	594	4050
64	604	4048
65	613	4035
66	622	4023
67	631	4011
68	640	4002
69	650	3993
70	658	3980
71	667	3968
72	676	3958
73	685	3945
74	694	3937
75	703	3925
76	712	3915
77	721	3903
78	730	3892
79	739	3882
80	748	3870
81	757	3859
82	765	3846
83	774	3835
84	783	3823
85	792	3816
86	801	3804
87	809	3791
88	819	3782
89	827	3770
90	837	3762
91	846	3754
92	855	3744
93	864	3734
94	873	3723
95	882	3712
96	891	3705
97	901	3697
98	911	3691
99	921	3684
100	930	3674
101	939	3666
102	948	3655
103	957	3645
104	965	3632
105	974	3623
106	984	3614
107	992	3602
108	1000	3590
109	1009	3579
110	1018	3569
111	1028	3562
112	1037	3552
113	1045	3541
114	1055	3534
115	1065	3525
116	1074	3517
117	1084	3510
118	1092	3499
119	1102	3489
120	1111	3480
121	1120	3470
122	1129	3460
123	1138	3452
124	1147	3441
125	1155	3430
126	1165	3422
127	1174	3412
128	1183	3402
129	1192	3392
130	1201	3383
131	1210	3373
132	1219	3365
133	1228	3356
134	1237	3346
135	1246	3335
136	1255	3326
137	1263	3315
138	1273	3306
139	1282	3297
140	1290	3285
141	1299	3276
142	1308	3265
143	1317	3257
144	1326	3248
145	1335	3238
146	1344	3229
147	1353	3219
148	1362	3208
149	1370	3198
150	1379	3188
151	1388	3178
152	1399	3174
153	1408	3164
154	1417	3155
155	1426	3145
156	1434	3135
157	1444	3127
158	1454	3119
159	1463	3109
160	1472	3100
161	1481	3090
162	1490	3081
163	1499	3072
164	1508	3062
165	1518	3055
166	1528	3047
167	1537	3038
168	1546	3029
169	1555	3020
170	1564	3010
171	1574	3002
172	1583	2992
173	1592	2983
174	1601	2973
175	1611	2966
176	1621	2958
177	1631	2951
178	1640	2942
179	1650	2933
180	1659	2924
181	1669	2916
182	1677	2906
183	1686	2896
184	1695	2887
185	1704	2878
186	1714	2869
187	1724	2862
188	1733	2853
189	1742	2842
190	1751	2833
191	1759	2823
192	1769	2814
193	1778	2804
194	1787	2795
195	1795	2785
196	1804	2775
197	1813	2766
198	1822	2757
199	1831	2747
200	1840	2737
201	1849	2728
202	1858	2719
203	1867	2710
204	1876	2700
205	1885	2690
206	1893	2680
207	1902	2671
208	1912	2662
209	1922	2654
210	1931	2644
211	1939	2635
212	1949	2626
213	1958	2617
214	1967	2608
215	1976	2599
216	1985	2589
217	1994	2579
218	2002	2569
219	2012	2561
220	2021	2551
221	2030	2542
222	2039	2533
223	2048	2523
224	2056	2513
225	2065	2504
226	2074	2494
227	2083	2485
228	2092	2475
229	2100	2465
230	2110	2457
231	2118	2447
