iter	MultiClass
0	1.030808848
1	0.9718979021
2	0.9203804982
3	0.8748900658
4	0.8345132764
5	0.7982822343
6	0.7657422335
7	0.7362424648
8	0.7094257446
9	0.6849801993
10	0.6625883214
11	0.6420978025
12	0.6233214852
13	0.6060020245
14	0.5901411194
15	0.5754235348
16	0.5618798713
17	0.5493195665
18	0.5377559416
19	0.5270085067
20	0.5169914853
21	0.5077378409
22	0.4991243403
23	0.4911813488
24	0.4836779358
25	0.4765781942
26	0.4699490133
27	0.4638411017
28	0.4581442727
29	0.4526700358
30	0.4476978011
31	0.4430005114
32	0.4386176645
33	0.4344454228
34	0.4304710815
35	0.4268000615
36	0.4233291339
37	0.4201327907
38	0.4171237797
39	0.414306659
40	0.4116287398
41	0.4091295328
42	0.406778775
43	0.4046542579
44	0.4024908931
45	0.4004165898
46	0.3985228765
47	0.3967592958
48	0.3950786987
49	0.3934682789
50	0.3919334431
51	0.3904526603
52	0.3891822757
53	0.3878476084
54	0.3866774102
55	0.3855703933
56	0.3844086002
57	0.3833826828
58	0.3823750638
59	0.3814626038
60	0.3804685879
61	0.3795889302
62	0.3787979793
63	0.3779754344
64	0.3772035214
65	0.3765215823
66	0.375790768
67	0.3752287298
68	0.3745181276
69	0.3740098653
70	0.3733712233
71	0.3728766839
72	0.3723508275
73	0.3718023058
74	0.3713544761
75	0.3707799424
76	0.370348041
77	0.3698331944
78	0.3693339749
79	0.3689662519
80	0.3686202222
81	0.3681762235
82	0.3678010255
83	0.3673844524
84	0.3670249883
85	0.3666601633
86	0.366262297
87	0.3659871566
88	0.3655882404
89	0.365187144
90	0.3648833293
91	0.3645963886
92	0.3642924295
93	0.3639825418
94	0.3636962888
95	0.3634393776
96	0.363221882
97	0.3628546163
98	0.3625425298
99	0.362315066
100	0.362096393
101	0.3619334026
102	0.3617527736
103	0.3615070783
104	0.3612316604
105	0.3609663469
106	0.3607110963
107	0.3604705104
108	0.3602285487
109	0.3600682384
110	0.3598721665
111	0.3597353355
112	0.3594679314
113	0.3593329383
114	0.3591171231
115	0.3588465102
116	0.3587235791
117	0.358541825
118	0.3584638487
119	0.3582597631
120	0.3580000523
121	0.3578071009
122	0.3576973422
123	0.3574735108
124	0.3573797312
125	0.3570624366
126	0.356865387
127	0.356636464
